dates,oahuoahu0038_0001,oahuoahu0038_0002,oahuoahu0038_0003,oahuoahu0038_0004,oahuoahu0038_0005,oahuoahu0038_0006,oahuoahu0038_0007,oahuoahu0038_0008,oahuoahu0038_0009,oahuoahu0038_0010,oahuoahu0038_0011,oahuoahu0038_0012,oahuoahu0038_0013,oahuoahu0038_0014,oahuoahu0038_0015,oahuoahu0038_0016,oahuoahu0038_0017,oahuoahu0038_0018,oahuoahu0038_0019
2020-12-22 20:44:14.000,,,,,,,,206.75088487878813,185.12699297353123,182.37099635785955,182.65228659879887,182.79764814074088,184.96327916673167,186.14562598354257,190.4416385647028,181.5418886579091,177.27015071635364,177.11880292162618,173.02750667334217
2020-12-23 21:03:09.290,176.9621783769025,181.82342541258865,180.4423944175208,180.12348303807843,182.4306390219845,182.5638216839073,180.1619420877055,181.4849002082776,178.96117839599037,177.7860080066214,179.7346032907403,179.56523570563704,179.27472410013047,180.197539985954,179.75203667315222,180.06070532260688,173.1794714527692,170.22982068055512,166.09940742141637
2020-12-30 21:13:05.210,196.40518527142945,185.9726072391479,183.93651219919292,186.7764644171833,190.40305658885083,188.41207095792103,190.0017085332165,186.3001285040968,185.54138283015016,184.5735141660212,184.4295163761037,186.51353463045183,189.1557149220181,188.49397561168345,191.37239260549367,184.8604866175645,179.73818127653422,177.83118540000754,178.39247329676292
2021-01-07 20:28:52.710,189.04886259498969,185.6024170994472,185.0118068408415,190.5081680525161,186.50353457339145,187.2693360063188,185.89853369194864,188.14704002050053,186.7874404304456,185.2820334821447,186.9216149046202,188.7311670445721,188.4773714867504,188.5539861642434,189.42337884773565,185.01123467172525,185.48699841619225,185.1126276275039,183.7674410989472
2021-01-10 21:24:19.720,186.34331114938928,185.7672559605302,184.4922602959576,185.5442101726534,188.9951577763761,183.34793912765923,185.30758118855871,186.00978381359687,186.24892907386416,186.0856518866451,186.2949259087939,188.9424168816546,188.95632683082675,189.0677736627146,193.05975157143035,184.90613424461367,183.18765675897112,180.7168616109516,177.68046162260296
2021-01-12 20:46:41.000,175.38050608082366,172.48685017708132,168.430172171058,179.57781449721654,183.6545272136929,177.21711101753542,184.47784713298267,182.4972731848241,182.95626172606748,180.79717249652137,179.5693260885303,174.7528563285465,172.35697095926682,175.6728587256305,178.5236238360149,173.90626910055187,170.3751959446454,171.26873293437197,168.33481260132723
2021-01-12 20:46:42.000,174.3247790453944,171.9454507464864,166.84559188325355,176.8451975807533,182.2959718813248,177.20063151518372,184.4328104222556,182.5003646077278,182.65841189559143,180.75860663593863,179.11012636168837,174.0655361971274,173.45249520613464,176.89348544877862,179.5026931017306,173.4498082810163,169.6898868099414,169.08842489986125,167.64894845302757
2021-01-13 18:29:43.000,185.16133819537225,180.83863746331696,181.5390058286128,186.38374444176225,187.78485695836,179.79255237630716,182.14250219098253,181.47281223351777,180.02819096423613,180.70591973654297,178.7483888577218,180.41974195943143,182.38662468820192,182.7670030878407,183.94671859217985,178.43182489921557,175.65221574090054,175.45498779606913,172.6167650268198
2021-01-13 20:47:45.000,195.87775312605373,192.91366079887,188.7490543192628,188.6713548272971,191.55337972974303,187.9278305534884,185.80867403391207,186.980010789602,187.9980198163393,186.66974601973376,186.33288599654645,189.04828917037875,188.06894728480896,186.5509705879415,186.7325750654944,182.59953607259007,180.63828115404965,177.81643913599106,178.02704242879798
2021-02-06 21:08:50.970,173.0204633444696,177.63452102125748,175.61972361184763,188.8162129616373,190.3025390832186,208.2501836323714,,212.8545951853617,197.46660914657164,187.5531736480648,186.9057814708814,180.8273302207488,168.6415694599543,164.77703282946288,169.6960781856237,180.89789396612605,161.5742561334092,157.5056255269677,153.81263361815064
2021-02-07 18:28:07.000,200.70181879185324,196.17358458129704,191.35426916702625,202.765142295846,198.54040010650064,203.92678487703105,204.77775575906705,206.79024900372525,199.0584920838902,198.2578364011677,193.48875793058264,198.78928039272893,191.8254683086884,198.91002762803288,201.5929617665413,198.031431701326,195.14531738144072,195.4318172584961,191.34444846368652
2021-02-08 21:09:58.730,186.3412950692965,186.1142636520953,184.32204618479523,187.7557234371336,191.3682446840462,185.4397476834585,186.2070674282171,184.4524180149644,185.68024072103265,184.91149642968023,185.8632199084684,185.168188896286,184.9451649328728,185.5264502896296,187.05580881226635,183.91374014850047,179.57435430205868,177.45798011630697,176.5250389720942
2021-02-15 21:11:02.610,185.4110763818101,185.6801156596084,184.66095458426585,181.55492366597548,184.2475510052236,184.23702052952984,181.06786847208645,183.03937180383383,182.57390970300355,181.0696221745786,184.4875015936236,183.29758834372723,183.0993516023109,184.37293329860924,181.5803545340453,182.3244222940054,173.95451361619354,173.49945151016445,170.9371168659894
2021-02-16 20:46:24.000,202.27723584317943,195.2320886147841,185.33723990908385,189.52272084483369,187.65022841780703,190.520349526168,189.0383844035499,190.91671795209967,187.71100300819785,195.84890300643707,188.2966813122092,191.1391978035212,191.420957662187,190.93885898553216,191.77950131914423,186.76512397579185,186.61480125041444,185.50823165801404,186.506866699236
2021-02-16 21:00:45.360,183.938690816177,179.86041998697038,181.21527169750505,185.15967798269068,178.99665236186962,187.3810468300345,186.7320192032984,185.7594165003933,187.42162348803683,193.9152290479197,193.9725315830082,192.5805209362917,191.05968018026124,189.7151909471312,187.3476367676665,184.5242922585817,,,192.00057236842147
2021-02-16 21:00:46.870,186.54414973771503,183.0759249564888,181.1842095959529,182.2558567276024,182.7971523128433,180.29132847428096,188.10002694931347,185.91652076457976,184.45628808986405,187.8416971176737,194.0388826522745,195.4279494775904,192.46872771307687,187.60980180064965,200.8465400362208,182.4793900363756,184.5190614070728,,
2021-03-03 18:20:59.000,,,,,,,,205.677382298471,205.5446646034964,203.42411007326763,198.18911219667336,212.88709888136307,201.0106673039309,204.75990974537967,211.1720703296725,209.91317183926463,,,
2021-03-03 18:21:00.100,,,,,,,,,,,,,,,,,,,
2021-03-14 20:21:32.370,186.7608224811636,185.7480565870452,178.76031697948096,181.5300761705512,184.42658927371303,177.9767473016709,183.4686985839073,184.4927257740152,180.77533858562865,179.74691699258975,181.26265048296293,179.48139088011862,179.98957339870182,181.86818587509663,182.5676474877256,178.5180326320959,175.4484926455262,172.39392308269248,171.08327721173757
2021-03-19 20:44:57.000,183.3186581222176,185.3612833309421,187.6489470554121,198.46163814800232,205.073136118758,208.76331044138087,,,,,,,,,,,,,
2021-04-09 18:15:21.000,212.0937663435778,214.15201739723813,215.40522406991568,208.61491570597173,202.4356722308694,199.5462824587924,199.444538746948,202.5744805575669,212.3135499956801,199.41512255768345,209.4206559000559,198.5886190192224,196.66002342741905,194.49904575951564,196.8849931088807,198.5173975177253,198.51348749473703,193.64271556799048,195.6268120909771
2021-04-09 20:20:58.510,187.48935010869616,186.03160649649672,184.87073773310456,185.2332424929528,187.09434446785835,191.3934138384453,193.6029699313516,192.2932325982512,196.31046412234537,193.49694218822924,191.6722306300377,191.87765325970472,191.47567906126463,191.07552483610343,191.10053526941428,189.9180497598021,187.22582375757835,186.6607338567973,185.0707071760249
