dates,oahuoahu0042_0001,oahuoahu0042_0002,oahuoahu0042_0003
2020-02-23 20:45:47.000,161.06708197269214,161.3874130220312,164.17779366869803
2020-02-26 20:47:19.000,160.35227313723703,161.27806889539943,164.4509118026748
2020-03-03 20:47:17.000,152.575164209042,161.78026929285147,169.27702805751602
2020-03-04 21:20:40.330,161.4056816038768,163.6756475880847,164.96513358997584
2020-03-05 20:48:56.000,,,
2020-03-07 20:46:51.000,159.5610751289746,160.64040134142445,162.97032175625964
2020-03-10 21:09:53.940,151.2834248546357,153.97700459667425,158.62773252748988
2020-03-10 21:16:29.430,153.82416806723415,154.18466802180893,159.9037998941617
2020-03-20 19:19:00.000,156.22376405867175,156.5495766787891,159.13142120177173
2020-04-02 19:18:57.000,156.61078707534713,157.388489924919,161.61463886632805
2020-04-04 19:17:57.000,158.59113623194585,159.0923668395305,162.60736831827023
2020-04-04 19:18:16.000,161.37521573825387,161.28152859930216,164.20972170224368
2020-04-16 20:45:00.000,166.04641704302608,166.6932190551304,170.54126731342834
2020-04-26 19:12:17.000,161.01706247532195,162.3738150876846,164.1747260821296
2020-04-30 20:35:31.000,167.5162070236533,171.71287218981044,175.24788170510894
2020-05-04 20:18:44.850,157.23828577155217,157.56409839166952,162.75386101999936
2020-05-04 20:18:47.070,160.02029325006174,161.10146014696028,165.7630647861697
2020-05-04 21:17:02.820,154.69979541543012,157.89381011872126,164.56373504406787
2020-05-12 20:18:27.190,154.88338489958574,155.20919751970308,157.93079889685865
2020-05-14 19:11:56.000,157.23016775414013,158.38567341672996,160.92877619733665
2020-05-15 21:11:39.010,157.20713565610396,158.9066172511423,162.925883890287
2020-05-16 20:48:02.000,163.85089455032966,170.73888953639135,172.2370113719097
2020-05-16 20:48:03.000,162.7651087415396,171.05821750262896,174.96028782350493
2020-05-17 20:46:09.000,,,
2020-05-28 20:19:00.970,149.7837846806594,152.67908396354457,155.3521880785207
2020-05-28 20:49:02.000,165.18755811860012,166.82036003272384,168.42475458884115
2020-05-29 21:12:09.130,175.62439878905167,,
2020-05-29 21:12:10.630,154.67207701059405,149.8977647002461,154.38964266456944
2020-05-31 20:48:10.000,,,
2020-06-01 19:08:34.100,,,
2020-06-05 20:46:32.000,166.7752210863296,169.96994657290315,169.82240574055984
2020-06-15 20:47:44.000,171.66742764301657,174.01319794805164,175.3033495551441
2020-06-22 19:05:45.100,167.67591038663312,169.55356499684504,166.94835614538937
2020-06-24 19:05:18.000,159.20283625388615,161.07544995378095,162.82969359796556
2020-06-24 19:05:19.000,158.78874827907725,159.33370613855513,162.713868071447
2020-06-26 21:13:17.320,161.37581521920657,160.44784648565917,163.53151899952098
2020-07-06 19:04:11.000,158.30783538481415,160.3734433878907,162.37990749347966
2020-07-06 20:49:41.000,162.3815246118768,166.21769836522904,164.85710605002194
2020-07-10 20:46:47.000,162.7115531438172,165.03577654542374,167.82043564223514
2020-07-16 20:46:52.000,159.0261710702877,158.93796550211425,163.68665527542737
2020-07-19 20:49:10.000,161.24113675390058,163.72945206089707,164.73109007579666
2020-07-20 19:00:25.000,156.13233789129492,156.85342386244022,161.44724181163195
2020-07-20 20:21:04.090,150.83558800766758,151.2215495596459,155.62244718186787
2020-07-20 20:21:06.310,152.86005868501138,153.58662622693495,157.89788306403068
2020-07-21 20:46:09.000,158.18963663981634,159.66091438576467,161.6763734943508
2020-07-29 20:48:05.000,156.07560790170277,160.36710825109287,168.37729326224215
2020-07-29 20:48:06.000,156.6957765083918,164.77605315517496,170.21095338399982
2020-08-03 20:47:39.000,163.03643872510565,163.35402898905554,166.10073179371474
2020-08-13 18:56:14.000,153.52337156753592,153.83866170655787,158.59044617337858
2020-08-13 20:46:39.000,149.46294899702167,152.54493962873676,
2020-08-17 20:22:36.540,145.9337664865285,155.02421738476826,
2020-08-26 20:45:25.000,159.80754145283046,159.71933588465703,165.21004626013718
2020-08-27 20:47:08.000,169.04033852079283,169.92195262899733,168.62196398996497
2020-08-30 20:47:03.000,162.26659555776632,163.39576744595496,168.80201678837705
2020-08-30 20:47:04.000,163.21116769618678,163.6611403682584,169.12810441518397
2020-09-01 20:17:12.310,149.672447311925,150.78811591090272,157.30698677578818
2020-09-01 20:47:29.000,,,
2020-09-02 20:46:09.000,161.36916608120265,165.27952743276694,169.236730772921
2020-09-05 20:45:25.000,,,
2020-09-15 20:31:09.000,158.00339518833744,158.08445287654934,161.98681919813936
2020-09-15 21:09:15.650,154.3617922140278,155.0750964894668,161.20106834331128
2020-09-16 20:44:16.000,155.62004259771624,156.12403847188162,160.75407587653206
2020-09-17 20:17:32.310,149.13283652659413,152.2369664059248,159.54301120762676
2020-09-17 20:17:34.520,147.180431004814,151.88161426374617,159.09421742562094
2020-09-22 20:46:59.000,,,
2020-09-25 21:00:38.640,149.46753142001376,152.84658979237165,158.53543822432093
2020-09-28 20:47:25.000,146.09288347527996,,
2020-09-29 20:20:25.550,155.77448023221118,157.63931223639975,162.41007134116552
2020-09-29 20:20:27.760,152.99403610831268,153.61766101529074,158.46122037866607
2020-09-30 20:46:38.000,154.51682010856717,155.2188799067642,158.6826447961988
2020-10-04 20:24:22.580,154.4838075022448,154.39834271946052,158.4613281475641
2020-10-06 18:47:41.000,155.5001581166118,156.2159330238679,159.59046879401092
2020-10-07 18:44:43.000,152.63946607110236,153.27735325228358,157.20644567697357
2020-10-07 20:18:14.630,156.42423812625873,159.5205612168514,166.73450703373092
2020-10-07 20:18:16.840,165.55622584803268,167.23855293015504,170.0993133639322
2020-10-09 21:01:49.000,,,
2020-10-10 21:21:00.970,,,
2020-10-12 20:45:56.000,163.6637033089242,165.3019524160053,170.80781812502133
2020-10-22 18:44:13.000,157.19978367822648,157.91153378615908,162.13184830459335
2020-10-24 18:43:30.000,,,
2020-10-29 18:41:53.000,152.3298185295855,154.60732767310847,156.7671950046275
2020-10-31 20:45:36.000,155.7243830273643,157.24409581279528,161.98349483200525
2020-11-02 20:45:00.000,156.7911066383212,156.6614484429195,160.76906687604014
2020-11-04 20:18:57.970,155.54657704737335,157.22717975431303,161.60521779141723
2020-11-04 20:19:00.180,153.17925227994425,155.68717740072378,160.30364620600014
