dates,oahuoahu0044_0001,oahuoahu0044_0002,oahuoahu0044_0003,oahuoahu0044_0004,oahuoahu0044_0005,oahuoahu0044_0006,oahuoahu0044_0007
2021-05-26 20:28:19.950,154.8488909816653,157.85814215263866,156.6369111564933,153.66296145845322,152.66263359693278,158.1243861203622,156.4722555992942
2021-05-28 20:45:54.000,,,,,,,
2021-05-29 20:17:58.420,156.65599353246296,158.34585925659837,159.40095162345014,171.02566708982323,,,
2021-05-31 18:06:27.000,151.34122264274862,152.68574875106188,154.28202546369465,146.46298515698678,143.23724075641363,149.7948416371534,147.45581614499798
2021-05-31 20:18:53.350,154.13639922903462,156.02759131179386,156.46727594430664,151.96970316947605,150.828447136253,156.22906684220305,153.4965414633872
2021-05-31 20:18:55.650,151.30703614006117,155.219556620477,154.78793882288295,150.36455905365864,149.85232970170784,155.88670422086304,154.6867242270704
2021-06-05 21:09:05.030,158.1105890101457,154.40385653421242,155.15954970291438,151.3891339630913,150.9369248722368,155.04347016301773,152.62582837811598
2021-06-08 20:18:55.150,152.86271428261705,156.06002628301167,157.96006886784255,154.83464396237167,154.18175057640522,156.0712773483936,155.25191993865673
2021-06-08 20:18:57.460,152.36463881167674,155.4642475137138,155.52518290538958,152.41548318983814,151.72098245038742,155.1676866726435,151.99861571292266
2021-06-16 20:18:22.170,151.22992385189724,154.59717378725193,154.17072667284327,149.9308855182592,149.45670197756016,155.0505870561632,155.29514197122435
2021-06-18 21:06:18.680,148.0292397302897,150.37661515551403,152.69441055305546,146.86257435617003,146.8569825350134,151.76634535401095,148.7485369346969
2021-06-18 21:06:20.980,150.77602379402282,148.51939167639102,149.63855780607065,145.71021794548463,145.17861017912486,148.89211966429184,146.69241644455815
2021-06-19 20:42:17.000,153.98950986660606,154.31027062547972,153.76154369288534,151.19846197707824,151.0983770114664,155.93626083522423,154.2929505901288
2021-06-22 20:53:16.070,157.9973338338443,154.59663713699777,153.33091376731014,151.37810351831337,150.6770714878092,155.0353610647725,152.7463429242584
2021-06-25 21:05:13.260,158.2567861946979,154.77540763182336,156.43756393995807,150.49683979263546,149.70877977978677,153.88608041030142,151.98356062646693
2021-06-26 21:08:35.440,154.43549345499875,156.71720040026003,157.47222955166234,157.35116591716414,157.31723833328428,160.4778287404769,160.7474927719707
2021-06-27 20:16:48.460,159.72998904728755,158.67501761218972,158.62455318151166,,,,
2021-06-27 20:44:53.000,,,,,,,
2021-06-28 20:44:38.000,,,,,,,
2021-06-29 18:03:07.000,151.67004467128845,153.35201321785115,151.18184143023646,145.93604536992072,143.2902369533932,149.3903634062203,146.8817026246889
2021-06-29 20:50:35.970,155.08169468456137,154.5396798441785,153.7835329425935,145.18249236070375,160.18328027139955,,
2021-07-05 20:15:12.990,154.19748086227196,151.75854235394553,153.2931350433726,150.86805002685816,149.00280749994445,152.54511561651404,149.63055324249598
2021-07-27 21:07:45.170,,,,,,,
2021-08-04 20:41:51.000,147.5447494881211,149.9558272987195,150.4358880569662,146.30332538959544,145.82490143301433,151.82126747664097,149.94688524513978
2021-08-05 21:06:43.220,,,,,,,
2021-08-06 20:17:57.370,156.25856187979633,156.1731813821187,156.4109894507628,153.20928560835017,152.29472423536345,156.4282433720245,155.30642183359458
2021-08-06 20:43:43.000,153.04156433127093,153.8965427429351,153.26931619291662,152.47990169330777,152.70610206468987,159.42015448788175,156.61140512800986
2021-08-09 20:44:19.000,159.9252817107785,161.8155605924628,163.12898341482742,173.16995944245906,,,
2021-08-09 20:44:20.000,161.52047760834364,157.9131406520848,161.04123831730715,,,,
2021-08-12 21:05:43.000,152.0732099522319,152.42547389984708,153.36900181139123,148.69718999663402,148.71027431563925,153.24306165600552,151.8746438715081
2021-08-18 20:18:51.100,149.67467809349688,148.79355846915303,150.2674493483455,144.73518401101546,144.20748354284348,148.1960445426355,146.91838298278594
2021-08-18 20:24:54.620,152.5130286784935,151.08079007695466,150.9960176462345,143.8583688402955,,139.58132437369343,143.2052222907032
2021-08-18 20:29:00.300,150.38944234011416,148.30223441838154,148.41086592657888,143.2363346818299,142.8846036781043,147.41673280741136,144.39260578688467
2021-08-29 21:07:55.250,154.0056612214565,154.18977621573367,152.9587996894832,148.77006880709882,148.79927542469238,153.17319392025306,150.92012411701384
2021-08-29 21:35:21.230,,,,,,,
2021-09-01 20:15:04.790,156.80671649971993,153.16795073390165,153.5061858114004,150.4201943099311,148.9465887010058,146.93566647840908,142.13001070294493
2021-09-01 20:16:35.730,149.34747338685222,150.08922270786005,150.08521736456234,146.6134661732215,146.1912724855746,148.42982538087116,148.33728065409466
2021-09-01 20:16:37.940,149.06012269468033,146.607889914513,146.83073727265813,140.55271056247872,139.82841455544454,143.19033311546602,142.3222828152508
2021-09-01 20:18:05.350,152.86381404338803,152.8902920755429,152.59238786825458,148.44101895095446,148.11691844652387,150.9347234580029,149.31299868186878
2021-09-01 21:04:08.760,130.44002226595046,129.68223476965127,127.83126718698584,,121.63377658872211,121.10611279999176,124.7902075617566
2021-09-03 20:15:02.550,150.94228552760697,150.63941263628865,149.4973893360216,147.5245275192363,147.09889305496912,147.3158233843679,145.70763904886613
2021-09-03 20:15:45.970,149.1107910011693,148.06400605442985,147.71901146708953,142.48402592717426,141.53127988291064,148.13686212635537,145.28398545628255
2021-09-08 20:44:24.000,155.00404367101868,157.44941244759707,157.15395117778954,154.5862491327072,157.13721695962238,161.73333331857586,164.49241630563938
2021-09-13 20:42:30.000,,,,,153.90972667887868,149.9558935422445,146.4360290850056
2021-09-13 20:42:31.000,149.31949667545965,149.41828094508392,150.96648045101887,152.3992074638871,150.14759943382177,149.57316660974655,146.7456025297079
2021-09-20 20:16:36.140,151.92158896558053,155.4577423197249,154.2305026805472,153.26981690340574,153.04591138383586,156.2907493384514,154.51282034167022
2021-09-22 17:49:20.000,143.3308766583367,133.0404443260352,,,,,
2021-09-22 20:24:29.020,159.945851639167,146.0511384934309,147.31624658210828,143.4928929104827,142.55651649678515,145.00404879707563,142.23641044577
2021-09-22 20:24:31.310,169.97370710934214,155.92882613713772,154.03976348666845,148.7750937614482,147.76162610790843,149.1929629186969,146.20239839123911
2021-10-01 20:14:55.480,156.35977101248366,153.97169664841655,153.13186207801215,149.48428030723048,149.12283175303818,151.9683440334369,150.88491112194126
2021-10-03 20:29:42.390,,,,,,,
2021-10-07 20:44:40.000,141.96181962903395,147.44686789713154,148.43480771026466,146.39229467538237,145.3749762545665,147.9324241615548,149.2853902726955
2021-10-08 20:15:52.350,143.6997326580582,145.4539917677343,144.45907603381733,139.6281028189852,139.0762561455964,139.48554318682565,132.82670966661908
2021-10-18 20:43:59.700,151.59578478502274,152.3168098020657,152.4488446715473,147.08912108558923,146.262098938316,148.71416251322012,146.65047340280083
2021-10-19 20:13:06.810,149.26520193047494,150.10029310378766,148.8282665041757,144.52424877132086,144.19251074368552,147.03857725392092,145.30421851361143
2021-10-20 20:18:24.450,149.17427003985185,152.06611228501737,152.13671062807242,148.7824799436156,147.8655185953974,147.20084180495132,143.67613085927704
2021-10-20 20:18:26.750,149.04251585947208,152.0833009341708,151.32372832264312,147.13499744025876,146.10253084923477,147.1844602604163,143.57385411320874
2021-10-22 17:43:47.000,161.11042368244904,127.02491517553982,123.5116166318493,143.10844339246705,156.54992582840927,155.76966935441797,154.0562186868238
2021-10-22 17:43:48.000,172.04889682621402,133.7060087489794,135.71214133998828,140.79072415588428,150.9266090268784,153.28092936546722,152.5998387242637
2021-10-25 20:14:24.690,,,,,,,
2021-10-26 20:15:10.260,146.65348918664125,146.4211783172828,144.63707536281413,141.53089981574885,141.317261744621,147.7430679848921,145.1789150139159
2021-10-27 20:15:42.530,154.6314091187787,149.92436447255835,145.0303401357023,143.0985930681147,142.41006748150596,147.16045507485,144.95369205876082
2021-10-29 17:41:26.000,123.6352797981198,128.47032185894736,,,,,
2021-10-30 20:41:05.000,,124.0662860478672,,,,,142.17325711230995
2021-11-01 20:16:00.210,145.93507052619472,147.91034162098777,143.31731783212672,141.1579028979361,141.5792143676898,145.32520023758997,142.65780253652414
2021-11-05 20:42:30.000,,,,,,,
2021-11-10 20:16:14.650,147.02505013484716,145.8946991867252,142.78913895978826,140.05680292068743,140.89988750386232,144.61681694612534,142.10054303441814
2021-11-11 20:16:30.010,142.9490639512758,143.20658960938044,147.10740414859106,148.63807624028664,148.335655632939,148.84137204715162,146.51973105538852
2021-11-12 20:43:36.000,,175.62892137281105,168.27780184052358,158.52323409537112,151.88218784941785,150.37707726162472,154.7711183732361
2021-11-13 20:12:05.070,,,,,,,
2021-11-17 20:14:47.180,146.7642560934828,147.49460694727452,144.3794689408206,141.16503785958355,140.5942737761333,144.67305626815485,142.44319452763327
2021-11-26 20:41:38.000,127.70373727444236,,,139.87817443002837,141.27571756228633,143.26311551132454,142.23198970265236
2021-12-13 20:18:12.980,149.25481578871123,150.9155364393414,144.3868174945025,144.07488304118036,143.0476044286038,147.02042150851065,143.80060499998012
2021-12-17 20:16:24.340,147.3103107014569,149.93589099297813,148.2722328302018,142.51470179980893,142.7978063076039,149.1446879796802,146.12332129152696
2021-12-17 21:02:07.190,149.46065321799833,150.29574439131105,148.38895955997455,144.7969674463528,143.79405201511372,149.84369747122946,145.97042098749003
2021-12-18 20:59:35.390,153.78370405536776,153.73680692055495,169.5394231769878,170.1153726744304,172.11541596600003,,
2021-12-20 20:16:32.810,146.9506883136573,148.61220048818757,144.8565660069542,141.77262783946637,142.5899990894499,146.41968423142768,143.34371435413658
2021-12-20 20:16:35.110,149.77980773971493,148.98731796055853,144.8564096991819,143.18011825122306,143.36500022860724,147.94477619775552,145.47656746204427
2021-12-23 21:03:50.120,150.5696741146401,150.7765463169516,145.75782136570805,143.4313672514966,143.58716684276877,147.34734678079644,146.85173952404267
2021-12-23 21:38:19.190,146.95773413645952,147.0974667389036,145.49837006148095,140.1733799878392,140.61592913209864,148.02302268738782,145.12067592289992
2021-12-25 20:16:57.000,150.90977790681603,150.28124247001426,144.00747980936617,143.38258683651807,144.4989182310044,148.20490339605718,146.9302479123911
2021-12-26 20:45:38.670,150.18742833675583,148.9067626699893,149.7504929104566,143.50743410138102,140.35185579536426,142.5463679200564,148.24870631692232
2021-12-27 20:12:29.410,,,,,,,
2022-01-07 20:43:48.000,146.79058958525482,149.84786117178342,144.03891859127722,140.17659538029045,141.28394282722715,144.29791745720277,144.68944933234184
2022-01-08 21:38:52.180,153.71513873366533,151.7115739806175,148.71941995447528,145.77267164885896,145.80209256165725,149.7724322824159,148.75826348213755
2022-01-08 21:38:53.680,149.5601384550288,147.3293028294513,144.68877658706992,144.82724339350304,147.1994720953085,149.49027297647612,149.5293973469564
2022-01-10 20:14:42.440,146.53122284482967,145.25383298996047,142.71654917128512,140.1833671927032,142.5851100517691,145.92447997354762,143.91941385419665
2022-01-10 21:41:15.700,146.39002417608276,149.93604744198527,148.7536062351807,142.91132046377837,142.3394294154779,146.41647877585947,145.05219467557149
2022-01-10 21:41:17.200,146.3609708246424,149.7959796446091,148.7362516055054,143.12516478634524,142.70859732604953,147.340578090422,145.15306114951346
2022-01-12 20:59:47.450,,,,,,,
2022-01-13 20:16:50.790,149.40910982772994,151.25940758619333,148.16758536376474,142.68988421268176,143.46401819182466,146.7507175444032,146.09208443889406
2022-01-14 20:14:30.600,146.46452212916708,149.76490255431088,145.50395631550293,142.74970804897458,143.34870622709172,148.4029381344025,146.2314457090789
2022-01-15 20:58:03.060,151.4531447348176,151.95859584694668,152.19326022849083,144.30154947762634,143.86804880579513,148.85847855244714,146.16470566748964
