dates,oahu0104_0001,oahu0104_0002,satname
2017-11-24 21:00:25+00:00,36.335986024485145,49.803604343290594,L8
2017-12-05 21:19:11+00:00,26.83760043220434,25.20418270894012,S2
2017-12-18 21:02:34+00:00,,,L7
2017-12-25 21:19:10+00:00,28.686526703977545,33.91992371663357,S2
2018-01-03 21:02:22+00:00,51.85638124166344,55.05966903945148,L7
2018-01-09 21:19:07+00:00,31.218361264701777,36.13040265695488,S2
2018-01-11 21:00:19+00:00,32.02484539332749,45.33290422812145,L8
2018-01-12 20:56:03+00:00,,,L7
2018-01-14 21:19:09+00:00,35.22887692273103,49.16498972826516,S2
2018-01-19 21:02:08+00:00,48.65694237006099,55.0459965716085,L7
2018-01-27 21:00:10+00:00,39.99429689867726,51.2919335820178,L8
2018-01-29 21:19:09+00:00,35.699013938872845,43.71544530786336,S2
2018-02-08 21:19:09+00:00,32.22753465706806,37.571303813121055,S2
2018-02-12 21:00:03+00:00,51.64798662169913,53.7666375221856,L8
2018-02-20 21:01:42+00:00,52.807744874700816,56.54144766358811,L7
2018-03-05 21:19:12+00:00,26.51331662093593,27.48108383210512,S2
2018-03-10 21:19:07+00:00,28.99931268838385,,S2
2018-03-25 21:19:14+00:00,16.16962595409439,11.29417739463501,S2
2018-03-30 21:19:12+00:00,19.527319853299595,13.929773067305575,S2
2018-04-09 21:01:04+00:00,,,L7
2018-04-09 21:19:13+00:00,8.964549775645672,9.922453402453908,S2
2018-05-19 21:19:14+00:00,,,S2
2018-05-24 21:19:18+00:00,12.221628547922432,9.28633563308754,S2
2018-06-03 21:19:17+00:00,14.88646972829002,8.865777020311405,S2
2018-06-08 21:19:14+00:00,16.449397538838948,12.478031579642522,S2
2018-06-12 20:59:59+00:00,26.26760333583244,22.781810442756846,L7
2018-06-13 21:19:15+00:00,7.49520337503025,,S2
2018-06-18 21:19:15+00:00,18.23810301750728,17.15853261617433,S2
2018-06-20 20:59:11+00:00,29.412476623186976,33.339167180182265,L8
2018-06-23 21:19:16+00:00,10.096824854370906,,S2
2018-07-06 20:59:20+00:00,29.2218724667256,30.55220360659812,L8
2018-07-28 21:19:13+00:00,18.17679680122491,15.781697829868593,S2
2018-08-17 21:19:09+00:00,11.390566903255255,10.415961431070944,S2
2018-08-22 21:19:15+00:00,11.4615700737453,7.996520716062793,S2
2018-09-08 20:59:50+00:00,48.77955015986174,48.88976407204576,L8
2018-09-21 21:19:11+00:00,8.802722138814168,5.764490922783488,S2
2018-09-24 20:59:55+00:00,,,L8
2018-09-26 21:19:10+00:00,26.89093483462433,23.21635060776278,S2
2018-10-01 21:19:12+00:00,10.453338659317366,7.222460610495128,S2
2018-10-21 21:19:13+00:00,14.50457899737592,13.654361038651356,S2
2018-10-26 21:19:13+00:00,17.84646681766183,,S2
2018-10-31 21:19:12+00:00,27.0663476306531,26.383204063144976,S2
2018-11-05 21:19:14+00:00,26.79215462922249,27.088530997352848,S2
2018-11-11 21:00:10+00:00,52.2517078428796,54.03295896194429,L8
2018-11-12 20:50:37+00:00,,,L7
2018-11-28 20:50:13+00:00,,,L7
2018-12-05 20:56:13+00:00,,54.51469032744868,L7
2018-12-05 21:19:29+00:00,38.12099871760434,,S2
2018-12-10 21:19:26+00:00,,,S2
2018-12-13 21:00:06+00:00,49.91970375279791,52.28328795021118,L8
2018-12-14 20:49:47+00:00,,,L7
2018-12-15 21:19:28+00:00,41.686811885666486,,S2
2018-12-20 21:19:26+00:00,22.99007518903265,,S2
2018-12-25 21:19:30+00:00,15.939716551524958,17.273302680325614,S2
