dates,oahu0002_0001,oahu0002_0002,oahu0002_0003,oahu0002_0004,oahu0002_0005,oahu0002_0006,oahu0002_0007,oahu0002_0008,oahu0002_0009,oahu0002_0010,oahu0002_0011,oahu0002_0012,oahu0002_0013,oahu0002_0014,satname
2013-12-31 21:01:38+00:00,44.23474404549088,28.01815083911513,26.735363627937552,25.56674065968673,23.80113836263719,24.260357306211944,24.179235840468817,23.489915786115684,23.48840119875645,25.470067314230995,27.61209128105161,26.927934327609428,28.437912836938803,27.832531231663413,L8
2014-01-09 20:55:19+00:00,37.446856052612965,25.09997855835477,26.41687811080845,,,,,,20.70461377132667,22.581502569635862,21.29397183729502,21.283140645250302,15.84408679187705,,L8
2014-01-16 21:01:23+00:00,48.54580552769434,28.429852410500622,24.26972341082691,22.366036635404868,23.142912836797045,25.47469574911077,24.825920202441072,22.5915276905376,22.320593351126096,23.98388978536627,25.8439378313738,26.599914600927644,29.72483253790907,31.06525842691099,L8
2014-01-25 20:55:11+00:00,42.45955825127489,25.06560696137246,21.16338289859412,20.8358994370141,18.93696846355784,21.33744303363333,21.90469253242851,22.25550565977872,21.259811340355235,22.50221190326955,24.098632959068603,27.204268329512043,28.22548501536395,34.20581108941751,L8
2014-02-10 20:54:57+00:00,46.7540204173409,26.21638011082981,23.994440176594125,24.16100924850206,21.023407948341173,24.196473743504733,25.74686375215329,25.59042621512044,26.40844931628578,26.36417985090881,28.84094986492224,31.41662600104651,30.926975198797788,32.85241676429435,L8
2014-02-26 20:54:45+00:00,,,23.4524392633333,22.268079415307408,22.97943291429912,22.07507966772465,23.188081923083967,26.122166612183687,26.3807711795926,26.73931830468772,29.51449519234397,31.7984906675399,30.49765949493604,32.94824867024209,L8
2014-03-30 20:54:17+00:00,,-5.809465563145475,14.048288409081046,-17.764506809049138,-17.95546119445907,9.644493704387385,19.780231494534565,-12.12475334951798,,,,,,,L8
2014-04-15 20:54:00+00:00,,,,,,,,,,,20.743493103232847,19.033011726795767,19.68926237773596,25.532867125367847,L8
2014-04-22 21:00:07+00:00,50.57211260481828,31.401993953709983,29.93972359161327,28.389306639406687,28.36594285405025,29.048012268514217,30.49843034599565,27.800919971755768,18.108859305364906,13.206684699835066,10.969518694950905,17.633370814658377,23.56236044840663,28.17732047400751,L8
2014-05-01 20:53:47+00:00,56.08153422190587,33.19631285478851,30.59096304126028,27.437888553165145,27.79430585180113,28.269299238089392,28.845218002942783,31.23915014331096,34.3088724856963,34.97563615866656,37.63179861648201,34.810871886743804,34.23022668824956,37.10790397025328,L8
2014-05-17 20:53:35+00:00,,,,,,,,23.729876297817537,30.278605462522773,30.874693505758582,32.66234841720391,36.621077861699256,36.53629705256534,31.34929792276516,L8
2014-05-24 20:59:45+00:00,19.513994319080663,17.205955305982386,17.007688463432096,17.19033049861217,18.60930654639589,21.39175936182077,22.18120979922498,21.67084528635168,21.30596815816275,22.291472952355008,15.744961464657209,14.3573481807655,12.676698358703645,,L8
2014-06-25 20:59:57+00:00,,,,,,,,,,,,,,,L8
2014-07-27 21:00:09+00:00,63.31005823218877,37.4808624183726,35.03226246716154,33.1288672238582,35.232587942251136,32.08328698221507,33.95311179219178,29.513961286271893,35.912668602177575,33.07029262423143,39.11481593150796,41.70605913100543,39.87338953528919,42.680840408711255,L8
2014-08-12 21:00:17+00:00,61.56298875437376,39.880669360999846,37.94727975515319,31.697673308586044,27.634166813655664,29.272171851161023,30.58840032155202,28.383547263116423,31.00827598470328,31.3508599119534,35.841665433837264,35.4264948937728,37.00951669058004,37.400614274468495,L8
2014-08-28 21:00:18+00:00,26.798320568025133,17.255721588790177,20.84357330747668,21.795205148723884,21.30638616751645,24.34858231590736,23.0080135087823,22.40082911482134,18.67275696588344,17.230732170790557,19.273221147507343,20.654648955704893,16.50599812296368,24.339756073972666,L8
